Name,Sail no.,Type,Design,Designer,Region
Amanzi 2,T1935,Trailer Yacht,Noelex 22,Honey/Tretheway,
Amanzimtoti,8013,Keelboat,Mercedes Clr,Mick Elms,
Amara,3684,Other,Tracker,Alan Wright,
Amarcord,4239,Keelboat,Cavalier 32,Salthouse/ Davidson,
Amarillo,3280,,,C White,
Amaryllis,2947,,,D T Townson,
Amathathu,7105,Multi-hull,,A Piver,
Amazing Grace,4982,,,L F Herreshoff,
Amazing Grace,T2696,Trailer Yacht,Farr 6000,Bruce Farr,Auckland
Amazing Grace II,T2763,,,A Scott,
Amazon,T1486,,,Honey/Trethewey,
Amber,181,,NZ 37,Jim Young,
Amber-Lea,5545,Other,Young 11,Jim Young,
Ambiance,5933,Keelboat,Farr 1020,Bruce Farr,
Ambition,3835,,Nova,Alan Wright,
Ambrosia,4791,,,Williams,
Ambush,4290,Other,,D Ganley,
Ameldee,T4084,,Joker 820,R Given,
Amelie,9351,Keelboat,Beneteau Sense 50,Berret Racoupeau,
Amelie II,10039,Keelboat,Centurion 41S,Ed Dubois,
American Pie,4122,,Raven 26,Owen Woolley,
American Pie,T2600,,,Alan Wright,
Amethyst,1387,,,R Tucker,
Amethyst,L1106,,Corsair,Salthouse,
Ami,1806,Keelboat,,Sparkman & Stephens,
Amicula,5711,,Chico 40,G Mull,
Amiego,T236,,,R Hartley,
Amigo,454,Other,,Francis Jones,
Amigo,T1617,Other,,,
Amigo II,2458,Other,,J Brooke,
Amigo II,T2224,,,H Evans,
Amigo III,T710,,Farr 6000,Bruce Farr,
Amigo Of Nz,4195,Keelboat,Mirage 30,Mick Elmes,
Amio,3526,,,F Pelin,
Amiri Rua,T554,,,HoneyTrethewey,
Amitie,1164,Keelboat,Normandy Class,Laurent Giles,
Amitie II,1352,,,Laurent Giles,
Amitir,T1723,,,R Hartley,
Amity Bay,386,,,R Tucker,
Amnesia,9172,Keelboat,,Harold Evans/Kirkbride,
Amnesty,4580,Keelboat,Farr 11.6,Bruce Farr,
Amokura,400,,,J Spencer,
Amokura II,1751,Keelboat,Easterly,C Smith,
Amokura O Raukawa,6117,,,R Turner,
Amorangi,T2493,,Trojan 750,,
Amorangi Of Timaru,T3081,,,Honey/Trethewey,
Amoret,T3468,,Aquarius 22,C Jeffrey,
Amorous,T2767,,Hartley 16,R Hartley,
Amour,9836,Keelboat,Bostrom 37,Bostrom,
Amourette II,3861,,,Alan Wright,
Amoureuse,2869,,,E Sayers,
Amphion,L1808,,,R Salthouse,
Amphitreete,9727,Multi-hull,Leopard 45,Robertson & Cane,
Amuri,T819,Trailer Yacht,,McNair,
Amy Dear,5946,,,R Hartley,
Ana-10-Soul,T2164,,,R Hartley,
Anaconda,T1153,Trailer Yacht,Farr 7.5,Bruce Farr,Waikato/Thames
Anaconda,5865,,Oceans,Alan Wright,
Anahera,L1101,,,J Young,
Anahera,2585,,,Donovan,
Anahera II,4368,,H 28,Herreschoff,
Anakiwa,T530,,,F Dawson,
Anam Cara,9458,Multi-hull,Tiki 38,James Wharram,Southland
Anarchy,37001,Keelboat,BW40,Brett Bakewell-White,Auckland
Anastasia,T3158,,Monarch 17,Alan Wright,
Anatole,T410,,Hartley 16,Hartley,
Anbar,2718,Keelboat,Pacific 38,C Smith,
Andante,2491,Keelboat,,H Wagstaff,
Andante,T2103,,,,
Andante II,8868,Keelboat,Bluewater 41,Terry Wells,
Andante III,9290,Keelboat,Endeavour 43,Endeavour Yachts,
Andantino,T885,Trailer Yacht,,Trethewey Marten,
Andar,9750,Keelboat,Open 50,Skip Miller,
Andever,T3320,,Kestrel,F de Joux,
Andiamo,5990,Keelboat,Davidson 55,L Davidson,
Andiamo,797,,,H Wagstaff,
Andiamo II,9235,Keelboat,Bavaria Vision,Bavaria,
Andriga,T1888,,Ventura,,
Andromeda,T84,,Farr 6000,Bruce Farr,
Andromeda,632,Other,,D T Townson,
Andromeda II,1635,,,R Hartley,
Andros,L1805,,,F Pelin,
Andros,T2306,,,F Pelin,
Andy Leigh,8543,,,Angelo Lavranos,
Anenigma,1408,Keelboat,Maurice Griffiths,Maurice Griffiths,
Aneta,T2908,,,Honey/Trethewey,
Angelina,6402,,,R Hartley,
Angeline,L1847,,,,
Angelique,2107,,,Ray Hart,
Angelsea,4009,,,Boro,
Angie,4156,,H 28,L F Herreshoff,
Anglepoise,T1601,,,TrethewayMarten,
Angry Dragon,T4254,Trailer Yacht,Shaw,Robert Shaw,
Angstrom,3950,,Farr 11.6,Bruce Farr,
Anika,4371,,,B Roberts,
Animal Biscuits,T4217,Trailer Yacht,,Rob Shaw,
Animal Crackers,T4032,Trailer Yacht,Elliott 5.9,Greg Elliott,
Animal Farm,5334,Keelboat,Ross 930,Murray Ross,Waikato/Thames
Animal House,4432,Keelboat,Pied Piper,Des Townson,Auckland
Animation,2232,Keelboat,Wagstaff 31,H Wagstaff,
Animation II,6808,,,Hartley,
Anita,730,,,R L Stewart,
Anitra,920,,Townson 30,D T Townson,
Anitra II,4205,,,Alan Wright,
Ankledeep,699,Other,,Woollacott,
Ann,T831,,,Bruce Farr,
Ann Margaret,T2795,,,C Jeffrey,
Ann Marie,8267,Keelboat,,Vn De Stadt,
Ann Rose,9746,Keelboat,Roberts Spray,Roberts,
Ann-Morgar,T2262,,Hartley 16,R Hartley,
Anna,T2352,,,Bruce Farr,
Anna,6159,Keelboat,,D Ganley,
Anna III,T2882,,,J Lidgard,
Anna Louise II,1270,Keelboat,,J Alden,
Anna Marie,9764,Keelboat,Moody,Bill Dixon,
Annabel Dennis,1224,,,W Atkins,
Annabella,T1015,Trailer Yacht,,R Hartley,
Annabelle,T3589,,Merlin,Alan Mummery,
Annaghdu,8159,Keelboat,Roberts 34,Bruce Roberts,
Annie,,Multi-hull,Orana 44,Fountaine Pajot,
Annie I,10057,Keelboat,Bavaria 38,,
Annina,9735,Keelboat,Keel yacht,Umbero Felci,
Annka,10046,Keelboat,donâ€™t know,Berret/Racoupeau - Pierre Frutschi,
Anodyne,4409,,H 28,Herreshoff,
Anonymous,T2163,,Merlin,A Mummery,
Another Adventure,9921,Keelboat,Jeanneau,Daniel Andrieu,Auckland
Another Life,9209,Keelboat,AFC 1175,David de Villiers (AFC 1175),Auckland
Antaeus,8199,Keelboat,Davidson 66,L Davidson,
Antarctic,9348,Keelboat,Joubert Custom,Joubert,
Antares,667,,,E Cox,
Antares,7264,,Trimaran,Horstman,
Antares,T158,Trailer Yacht,,McNair,
Antares,L1054,Launch,,Cookson,
Antares II,1752,Keelboat,Reactor,P Whiting,
Antares II,T2496,Trailer Yacht,,R Hartley,
Antares IV,3548,,,J Lidgard,
Antares IV,T875,Trailer Yacht,,Harold Evans,
Antares Too,T3224,Trailer Yacht,,Moonraker Mar,
Anthea II,98,,,McGruer,
Anticipate,1889,,,Lidgard,
Anticipation,2222,Keelboat,,Ben Lexcen,
Antidote,T2487,Trailer Yacht,Noelex 22,Honey/Trethewey,
Antidote,3895,,Davidson 28,L Davidson,
Antigone,3728,Other,,P Whiting,
Antiope,2986,Keelboat,Nova,A Wright,
Antipodean,9076,Keelboat,Pacemaker Mk11,D Ganley,Northland
Antipodes,1948,Keelboat,Easterly,C Smith,
Antipodes II,9377,Keelboat,Oceanis 40,Berret Racoupeau,
Antithesis,8970,Keelboat,,Garrpmo/Jeanneau/Marclombard Jeanneau42D,
Antoinette,T3708,Trailer Yacht,van Dieman,J Lidgard,
Antrares,T4260,Trailer Yacht,Hartley 18,R Hartley,
Anunaka,7122,,,A Piver,
Anwyl,417,,,Norman,
Anya,9281,Keelboat,Beneteau,Groupe Finot (Oceanis 34),
Anzio,6928,Keelboat,,Van de Stadt,
Aoatea,891,,,M Carter,
Aoinake,3329,,,L F Herreshoff,
Aokautere,2810,,H 28,L F Herreshoff,
Aokautere,T2617,Trailer Yacht,,Trethewey/Honey,
Aolele,8413,Keelboat,Hunter 336,Hunter Marine (Hunter 336),Auckland
Aoma,579,Keelboat,Serene '26',Townson,
Aomarama,T2920,Trailer Yacht,Coronet 20,J Brooke,
Aoraki 2,5547,Other,Cavalier 39,R J Salthouse,Auckland
Aorangi,T330,Trailer Yacht,,,
Aorangi II,T3174,Trailer Yacht,,H Wagstaff,
Aorangi II,694,,,Woollacott,
Aorere,T2359,Trailer Yacht,Farr 6000,Bruce Farr,
Aorere,T60,Trailer Yacht,,Honey/Trethewey,
Aorere,7712,,,Piver,
Aorere II,7334,,,Wharram,
Aorere II,2906,,,D T Townson,
Aorere III,26,,,Logan,
Aoreremoana,3688,Keelboat,Townson 34,D T Townson,
Aorewa,794,,,Woollacott,
Aotea,663,,,Herreshoff,
Aotea,8665,Other,,Robert Perry,
Aotea 3,T3912,Trailer Yacht,Young 5.7,Jim Young,
Aotea II,T1003,Trailer Yacht,,R Hartley,
Aotea II,1075,,,R Tucker,
Aotea III,5421,,,Morgan,
Aotearoa,74,,,R Stewart,
Apache,5446,Keelboat,Davidson 28,L Davidson,
Aparangi,4134,Keelboat,,J Lidgard,
Aparima,2451,Keelboat,,Beck,Auckland
Aperitif,T3983,Trailer Yacht,,R Given,
Aperitif,6863,,Beneteau 350,J Berret,
Aperitif II,4010,Keelboat,Marauder,Alan Wright,
Apex,1835,,,Castle,
Aphelion,3576,,Variant,Alan Wright,
Aphrodite,T1123,Trailer Yacht,,Bruce Farr,
Aphrodite II,1129,,,L F Herreshoff,
Aphrodite New Zealand,6593,,,T Wells,
Apiti,1131,,,J B Brooke,
Apocalypse,T1336,Trailer Yacht,Hartley 16,R Hartley,
Apogee,1195,Keelboat,,Sparkman & Stephens,
Apollo,1223,Other,,H Wagstaff,
Apollo,T1425,Trailer Yacht,,Alan Wright,
Apollo G,1003,Other,,Lees,
Apollo II,760,Other,Southerly,Lees/Gorkman,
Apopo,T2791,Trailer Yacht,,F Pelin,
Apostle,4913,Keelboat,,Cox,
Appaloosa,1822,Keelboat,Gulf 30,Birdsall,
Apparition,5283,Keelboat,Ross 35,Murray Ross,Auckland
Apple Cake,T3418,Trailer Yacht,,Jim Young,
Apple Pi,9487,Keelboat,Jeanneau,Philippe Briand,Auckland
Apple Tart,T400,Trailer Yacht,,F Pelin,
Applejack,T1025,Trailer Yacht,,TretheweyMarten,
Applejack Rabbit,4251,,,Evans,
Applique,T3609,Trailer Yacht,,Midnight Marine,
Apra,4025,Keelboat,Tracker,Alan Wright,
April,5968,,,B Roberts,
Apsara II,8654,Other,,Dufour,
Apsara3,8867,Keelboat,,Jeanneau Design J. Fouroux,
Apteryx,7304,,,,
