Name,Sail no.,Type,Design,Designer,Region
Apurlu,1672,,,Jim Young,
Apusskidu,3957,,Lotus 9.2,A Wright,
Aqua,T1477,,Hartley 14,R Hartley,
Aqua Dream,T2466,,,C Jeffries,
Aqua Flyte,T861,Trailer Yacht,Noelex 22,Honey/Trethewey,
Aqua Libra,T3984,,Aquarius 22,C Jefferies,
Aqua Lust,6658,,Raven 31,Owen Woolley,
Aqua Pisces,L1510,,,Cookson,
Aqua Vita,9303,Keelboat,Shiraz,Alan Wright,
Aqua Vitae,526,Other,S R 26,Lambert,
Aqua Vitae,T3557,,Aquarius 22,C Jeffrey,
Aqua-Aries,T2741,,,,
Aquabatch,5604,Keelboat,Junior Offshore Group,Jim Young,Canterbury
Aquabelle,T1434,,,,
Aquadomus,T3480,,,TretheweyMarten,
Aquaholic,T741,,Aquarius 22,C Jeffrey,
Aquaholic,4604,,Tracker,Alan Wright,
Aquanaut,6227,Other,Raven 31,Owen Woolley,
Aquanimity,3603,Keelboat,Spencer 32,John Spencer,
Aquaplane,T3871,Trailer Yacht,Elliott 7.4,Greg Elliott,
Aquareen,L1083,,,F Pelin,
Aquarian Girl,T3991,,Aquarius 22,C Jefferies,
Aquarius,T143,,Hartley 16,R Hartley,
Aquarius,4049,,Shoalcraft,C Crookes,
Aquarius,T490,,Aquarius 22,C Jeffrey,
Aquarius III,T1211,,Aquarius 22,C Jeffrey,
Aquarius III,3111,,,P Brohall,
Aquasition,T3817,Trailer Yacht,Gazelle 24,,
Aquataine,8933,Keelboat,,"Berret Racoupeau, Beneteau",
Aquataur,6254,Keelboat,Ketch,Laurie Withy,Bay of Plenty
Aquavit,T1633,,Dancer 20,Armstrong/Bligh,
Aquavit,5953,Other,,P Nelson,
Aquel,4593,,,D E Brooke,
Aquila,L1511,,,F Pelin,
Aquila,1348,Other,,J Spencer,
Aquila,T108,Trailer Yacht,Hartley 16,R Hartley,
Aquila D'oro,5272,,,A Mummery,
Aquila II,1895,Other,,R Hartley,
Aquila II,T1732,,,Honey/Trethewey,
Aquila III,2786,,,F Pelin,
Aquila III,T2212,,,Honey/Trethewey,
Aquila IV,T2714,Trailer Yacht,Aquarius 22,Clive Jeffrey,
Aquilar,3032,,,O L Steers,
Aquiline,6080,Keelboat,Farr 1020,Bruce Farr,
Aquilla,1031,,,H Wagstaff,
Aquilla II,2045,,Reactor,P Whiting,
Aquilo,6172,Keelboat,Marauder,Alan Wright,
Aquilo,T2517,,,Honey/Trethewey,
Aquilon,3629,Keelboat,Salar 40,Laurent Giles,
Aquqcoco,8697,,Beneteau 350,Beneteau,
Ara-Tai,303,Other,,D T Townson,
Arabella,T765,Trailer Yacht,Farr 6000,Bruce Farr,
Arabella,4265,Keelboat,Unknown,R Salthouse,
Arabesque,3612,Other,Mirage 30,M Elmes,
Arabesque,T3280,,,TretheweyMarten,
Arabesque,L1081,,,F Pelin,
Arabia,4115,Other,,R Tucker,
Arabian Knight,3624,,,Woolley,
Aradonna,6497,Keelboat,Young 43,Jim Young,
Aragorn,1359,,Cavalier 32,R Salthouse,
Arahura,6306,Other,,B Seaborn,
Arakiwa,1475,,,E A J Randle,
Arakiwa,T542,,,D Nixon,
Arakoa,4683,,,B Roberts,
Aramia,5340,Other,Malcolm Dickson,M Dickson,
Araminta Of Aotea Roa,6371,,,L F Herreshoff,
Aramis,1370,Keelboat,Cavalier 32,R Salthouse,
Aramis II,3291,,H 28,L F Herreshoff,
Aramoana,123,Keelboat,B Class,Arch Logan,
Aranga,T1484,,,R Hartley,
Arani Manu,T1597,,,Honey/Trethewey,
Arani Manu II,T1293,,,R Hartley,
Aranui,3849,Keelboat,Tahitian,R Hartley,
Arapawa,60,,,J Alden,
Arataki,1842,Keelboat,Variant,Alan Wright,
Arataki II,2366,,,R Lidgard,
Aratapu,2033,Other,,P Soljak,
Arawa,T4158,,,,
Arawa,1657,,,K Watts,
Arawai II,599,,H 28,L F Herreshoff,
Arawhiti,3691,,,A Smith,
Arbitare,4124,Keelboat,Farr 11.6,Bruce Farr,
Arbitrage,6365,Other,,Jim Young,
Arbitrator,5303,Keelboat,Beale 33,Ray Beale,Auckland
Arc,9592,Keelboat,Roger Hill 12.5,Roger Hill,
Arca,5745,,H 28,L F Herreshoff,
Arcadia,6204,Keelboat,Lotus 10.6,Alan Wright,
Arcadian,471,Keelboat,E71,,
Arcane,T3288,Trailer Yacht,,T Adams,
Arch Rival,5427,Keelboat,Ross 930,Murray Ross,
Archangel,4941,Other,Marauder,Alan Wright,
Archon,5857,Keelboat,,L Davidson (IOR),
Arctic Lady,9088,Keelboat,Moody 442,Bill Dixon,
Arctic Loon,9618,Keelboat,Alden 46,Neils Helleberg,
Arcturus,6984,,,A Guerney,
Arcturus,3135,,,R Hartley,
Arcturus II,2543,,,A Wright,
Arcturus III,8639,,,John Alden,
Ard Sholas,1706,,,Donovan,
Ardea,9387,Keelboat,Mariner 31,Claire Oberly,
Ardente,3049,,,J Lidgard,
Ardilla,9039,Keelboat,,Pablo A Cibert,
Ardito,4316,,Beachcomber,Hart Bros,
Ardmachree,9751,Keelboat,Fraser 41,Doug Cook,
Area 51,5527,Keelboat,,Murray Ross,
Arethusa,3591,Keelboat,Birdsall 39,B Birdsall,
Argento,T2679,,Sabre 20,A Scott,
Arges Tuft,T1646,Other,,F Pelin,
Argo,T147,Trailer Yacht,Noelex 25,TretheweyMarten,
Argo,,Multi-hull,Leopard 48,Leopard,
Argo,T1892,,Monarch 17,Alan Wright,
Argo,3517,,,R Hartley,
Argo,T204,,,F Pelin,
Argo II,4237,,Tracker,Alan Wright,
Argo III,T2671,,,Honey/Trethewey,
Argo III,4675,,,Bruce Roberts,
Argo Of Auckland,4908,,,Baess,
Argonauta,4348,Other,,Bruce Roberts,
Argonauta II,8608,,,Peterson,
Argos,6554,,,Herreshoff,
Argosy,513,,,Buchanan,
Argosy II,2449,,,L F Herreshoff,
Argyll,1479,,,V S Shaw,
Aria,6404,Other,,D T Townson,
Ariaa,2791,Keelboat,Cavalier 32,Bob Salthouse,Nelson/Marlborough
Ariadne,541,,,B Birdsall,
Ariadne,T38,,,Treathwey/honey,
Ariana,T2298,Other,,R Hartley,
Ariana,3013,Keelboat,,R Hartley,Auckland
Ariana I,8922,Keelboat,,S Dashew,
Ariel,T981,Trailer Yacht,Midnight 21,E Garratt,
Ariel,44,Keelboat,,K Reimers,
Ariel II,T1404,,,R Hartley,
Ariel III,T3165,,Young 780,Jim Young,
Ariel IV,6852,Keelboat,,Des Townson,Nelson/Marlborough
Aries,T305,,,Blue Peter,
Aries,1435,,,Alan Wright,
Aries II,805,,,Woollacott,
Aries III,3539,,,R Tucker,
Ariki,3,Other,Classic A-Class,Logan Bros,
Ariki II,5976,Keelboat,Chieftain 38,Cooke Brothers,Auckland
Ariki Nui,8695,,,Cape North,
Arima,L1005,Launch,,Wild,
Arion,T3475,,,Jim Young,
Arion,7140,,,Wharram,
Aristo,10040,Multi-hull,Cruising Catamaran,Joubert Nivelt Design,
Aristoc,5515,Other,Cavalier 39,R Salthouse,
Aristos,L1004,,,D T Townson,
Ark Royale,L1055,Other,,Keith Eade,
Arkhangel,7363,Multi-hull,,Jim Brown (Searunner),Auckland
Armadillo,3153,,,Alan Wright,
Armageddon,T4137,,,Steve Thompson,
Armalite,4911,Keelboat,Ross 930,Murray Ross,Canterbury
Armini 55,1550,,,G Elliott,
Armorel,4652,,,C Childs,
Armorel,T1282,,,F Pelin,
Arnia,T1069,Trailer Yacht,,Honey/Trethewey,
Aroha,7715,Multi-hull,Trimaran,A Piver,
Aroha,5485,,Townson 34,D T Townson,
Aroha,L1473,,,R Salthouse,
Aroha,T876,,,R Hartley,
Aroha,L9625,Launch,Motor Yacht,Salthouse,
Aroha II,T1783,,,B Holloway,
Aroha Moana,4127,Other,Compass 790,H Wagstaff,
Aroha Nui,9488,Keelboat,Hanse 415,Judel Vrolijk,
Aroha Nui 1,7906,Multi-hull,Orana 44 Fontaine Pajot,Joubert/Nivelt,
Arohanui,T2431,,,J Brooke,
Arohanui II,2471,,,A Mummery,
Arohanui II,T2670,,,F Pelin,
Arohanui III,T2236,,,F Pelin,
Arohatahi,,Keelboat,,K Lidgard,
Arohatahi One Love,9958,Keelboat,Lidgard 35,Kevin Lidgard,
Arohena,866,Keelboat,Matangi,R L Stewart,
Arohi,4389,,Cavalier 39,Bob Salthouse,
Arohia,27,Keelboat,A Class,Colin Wild,
Arohina II,3717,,,R Tucker,
Aroma,2514,,,R Hartley,
Aromel II,4116,,,R Salthouse,
Aronui,37,,,A Robb,
Arosa,5891,Keelboat,Lotus 10.6,Alan Wright,Auckland
Arpierre,2509,,,J Gladden,
Arran,298,,,Jim Young,
Arresto,3207,Keelboat,Raven 26,Owen Woolley,
Arriba II,T1767,,,J Brooke,
Arrival,7632,,,M Tennant,
Arrogant Frog,5894,Keelboat,Farr 1020,Bruce Farr,
Arrow,T4277,Trailer Yacht,Sports boat,Val Chubb,Northland
Artemis,T4091,Trailer Yacht,MacGregor 26S,MacGregor Classic,Canterbury
Artemis,6568,,Whiting 40,P Whiting,
Artemis IV,3215,,H 28,L F Herreshoff,
Artemis Prime,5273,Keelboat,Birdsall 40,B Birdsall,Nelson/Marlborough
Artful Dodger,1634,,Nova,Alan Wright,
Aruna,T1698,,Tasman 20,Alan Wright,
Arwen,2661,Other,Townson 32,D T Townson,
As Good As It Gets,9314,Keelboat,,Bavaria (Cruuiser),
Asb,11999,Other,Farr MRX,Bruce Farr,
Asilah,T708,,,TretheweyMarten,
Ask For Me,3080,,,Bruce Farr,
Askari,5685,Other,,L Davidson,
Aslan,3583,,Trojan 750,Alan Warwick,
Aslan II,6345,,,D Ganley,
Aspara II,8856,Keelboat,,Defour 35 Classic,
Aspasia,6175,,,L F Herreshoff,
Aspect Of Arran,35,Keelboat,,P E Carpenter,
Aspen,T1651,,,,
Aspen,3406,,,A Mummery,
Aspiring,T841,,,Honey/Trethewey,
Aspiring,9926,Keelboat,unknown,Berret-Racoupeau,Canterbury
Asra,9857,Keelboat,Unknown,Alubat,
Assailant,T3233,Trailer Yacht,Ross 780,Murray Ross,
Assassin,3809,Other,,R Beale,
Assegai,1618,,,J Spencer,
Asta,5127,Keelboat,Raven 26,Owen Woolley,Auckland
Astelia,5070,Keelboat,Warwick 43,Alan Warwick,
Asterina,4979,Keelboat,-,Alan Wright,
Asterix,1821,,,L F Herreshoff,
Asterix,T576,,Hartley 21,R Hartley,
Asterix II,T2962,,,Bruce Farr,
Asterix Of Wellington,6881,,,Ganley,
Asti,T1361,,Midnight 21,Midnight Marine,
Astra,7166,,,Trimaran,
Astra,683,,,,
Astra II,6267,,Townson 34,D T Townson,
Astral Plane,7378,,,I Farrier,
Astral Rose,3486,Keelboat,,Mummery,
Astrid,1133,Keelboat,,William Atkin,
Astrida,T3322,,Gazelle 24,Adams & McGee,
Astro-Cat,7499,,Catamaran,L Crowther,
Astrolabe II,2833,Keelboat,S & S 24,Sparkman & Stephens,
Astrolabe II,T3641,,,TretheweyMarten,
Astrolinda,774,,,Burns,
Astron,L1070,,,F Pelin,
Astrotraveller,T3780,Other,,R Sheldon,
Astruso,8740,Keelboat,Thompson 30,Steve Thompson,Nelson/Marlborough
At Last,T214,,,C Jeffrey,
Ata Marama,3859,,Coronet 20,J Brooke,
Ata Po,6953,,,H Middleton,
Ata Rangi,8924,Keelboat,,Groupe Finot,
Ataahua,9662,Keelboat,Bavaria Vision 42,Bavaria / Farr,Auckland
Atahua,370,,,L F Herreshoff,
Atahua,T2573,,,C Jeffrey,
Atalanta,1006,,,Bailey,
Atalante,9853,Keelboat,Bavaria 390 Caribic,Axel Mohnhau,Auckland
Atamai,9785,Keelboat,First 44.7,Farr,Auckland
Atarangi,764,,,B Woollacott,
Ataroa,8699,,,Denis Ganley,
Atatuhi,858,,,Smith,
Atea,1683,Other,,J Alden,
Atea II,8062,Keelboat,,Herreshoff,
Athair,9375,Keelboat,Hanse,Judel/Vrolijk,Auckland
Athena,T1149,Trailer Yacht,,Bruce Farr,
Athena,1148,Keelboat,Stiletto,J Spencer,
Athena II,T3903,,,A Trethewey,
Athena III,T4129,,Farr 7.5,Bruce Farr,
Athena IV,9708,Keelboat,Unknown,Judel / Vrolijk & co,
Athene,4033,Keelboat,H28,L F Herreshoff,
Athene,T1496,,Cirrus 20,Cirrus,
Athene II,5506,,,Bruce Farr,
Athenea,5173,Other,,F Pelin,
Athenian,2784,,Davidson 28,L Davidson,
Atlanta II,674,,,van de Stadt,
Atlantes,T1610,,,Honey/Trethewey,
Atlantis,L1827,,,Valkruiser,
Atlantis,8329,,,D Townson,
Atmosphere,8617,,,R Beale,
Atom,9970,Keelboat,Humphreys Yacht Design,,
Atom Ant,328,Keelboat,Colson 9.2,Barry Colson,
Atomic,T4750,Other,,S Thompson,
Atomic Kitten,7562,Multi-hull,,Tim Clissold Design (TC 11.5),
Atria,130,,,Donovan,
Attitude,T4071,,,Ray Beale,
Attitude,7593,Multi-hull,Catamaran,John Tetzlaff (JT8.5),Auckland
Attitude,8316,Keelboat,,John Spencer,Auckland
Atua,574,,H 28,L F Herreshoff,
Atutahi,164,,,R L Stewart,
Auahoki,7057,Multi-hull,,,
Audacieuse,9273,Keelboat,Beneteau Oceanis 40,Berret Racoupeau Yacht Design,
Audacity,3955,,Compass 790,H Wagstaff,
Audrey,9898,Keelboat,Hanse 370e,Judel/Vrolijk,
Aumoana,T4290,Trailer Yacht,Tasman 20,Alan Wright,
Aunty Alice,2845,,,F Pelin,
Aura,3066,,,Alan Wright,
Aura,2500,Keelboat,,Sparkman & Stephens,
Aurata,7101,,,A Piver,
Aurelia,T3426,Trailer Yacht,,TretheweyMarten,
Aurelia,9695,Keelboat,Beneteau Oceanis 473,Group Finot,
Aurelie,3633,Keelboat,S & S 24,Sparkman & Stephens,
Aurelius,T406,,Tasman 20,Alan Wright,
Auriga,2815,Keelboat,Chico 30,Gary Mull,Auckland
Auriga,T44,,Tasman 20,Alan Wright,
Aurora,T1595,,,,
Aurora,1666,Keelboat,Hartley South Seas,R Hartley,
Aurora II,8663,Keelboat,Golden Wave 42,Robert Perry,Auckland
Aurora II,344,Keelboat,Stewart 34,R L Stewart,
Aurora II,T3245,,Mulletty V,G Honour,
Aurora III,8002,Keelboat,Farr 10.20,Bruce Farr,
Aurora Lights,6231,Keelboat,Cavalier 45,L Davidson,
Auspicity,3804,,,L F Herreshoff,
Austral Star,T4113,,,Scott Judson,
Australis,3530,,Cavalier 39,R Salthouse,
Autumn,2788,,Salthouse 25,R Salthouse,
Autumn Leaves,2595,,,Alan Wright,
Aux Sable,7298,,Trimaran,L Crowther,
Av'ifauna,4051,,,Alan Wright,
Avalon,T193,,,R Hartley,
Avalon,L1675,,,,
Avant Garde,8601,Keelboat,,M Dickson,
Avant Garde II,8211,Keelboat,Chico 50,Keith Eade,Auckland
Avanti,1994,Keelboat,Cavalier 39,R Salthouse,Otago
Avatar,7525,,,L Crowther,
Ave Gitana,7669,Multi-hull,Crowther 40,Crowther,
Avengence,T3196,,,TretheweyMarten,
Avenger,L1603,,,Cookson,
Avenger,5203,,Ross 40,Murray Ross,
Aventador,10077,Multi-hull,Matera 40,Stephen Bull,
Aventura,10026,Multi-hull,Farrier 22R,Ian Farrier,
Avgrunnen,3973,Keelboat,Hartley,R Hartley,
Avian,68,Keelboat,Spencer,J Spencer,
Avion,49007,Keelboat,Marten 49,Steve Martin,Bay of Plenty
Avior,4426,,,Askew,
Avocet,7064,Multi-hull,,Piver,
Avocet,1518,Other,,J Gladden,
Avon,L1814,,,Avon,
Avon,4112,Keelboat,Nova,Alan Wright,
Avynne Rose,2521,,,Lidgard,
Awa Manu,L1010,,,Lang,
Awake,1076,,,van de Stadt,
Awakening,8897,Keelboat,Beneteau 473,Groupe Finot,
Awamoana,T358,,,J Brooke,
Awanui,8198,,,L Giles,
Awatea,T2322,,Monarch 17,Alan Wright,
Awatea,455,,,Bailey,
AWATEA II,10042,Keelboat,HANSE 418,JUDEL/VROLIJK & CO,
Awatere,L806,,,Cauldrey,
Awatere E,656,,,F Blum,
Awatui,8108,Other,,H T Grigg,
Aweigh,435,,,Illingworth,
Awen,10750,Keelboat,Open 60,Owen Clarke,
Awesome,6460,Other,Marauder,Alan Wright,
Awhitu Spirit,9493,Keelboat,Moody Deck Saloon 54,Dickson Yacht Design,
Awol,T662,,,TretheweyMarten,
Axis Bold,T3206,,Explorer,V Chubb,
Ayda Weydo,T268,,,R Hartley,
Ayeisha II,1980,,,R Hartley,
Ayesha,293,,,J Young,
Ayla,2608,,,P Beck,
Ayoba,8566,Keelboat,Catalina 42,Gerry Douglas (Catalina 42 mk2),Auckland
Azarmyth,1266,Keelboat,,L Davidson,
Azimuth,3115,,,J F Stuart,
Aziz,T300,,,TretheweyMarten,
Azlina,5389,Other,Oceans,Alan Wright,
Azra,5142,,,J Lowther,
Aztec,1782,,,J Spencer,
Aztec,T2234,,,Honey/Trethewey,
Aztec Dream,9878,Keelboat,Jeanneau Sun Odyssey 45,Jeanneau,Auckland
Aztec II,T2455,,,J Brooke,
Aztec III,T2990,,Farr 6000,Bruce Farr,
Azucar,8851,Keelboat,,Des Townson,
Azura,2260,Keelboat,Nova 28,Allan Wright,Auckland
Azure,T3038,,Variant,Alan Wright,
Azure,6121,Keelboat,Farr 1020,Bruce Farr,
Azure,T3872,,Rover 680,,
Azure II,T1178,Trailer Yacht,,TretheweyMarten,
Azzurra,4672,,Townson 11,D T Townson,
B - Kalm,T1949,,Monarch 17,A Wright,
B For,T2079,,,M Elmes,
B'tween Sheets,T3371,,Ross 780,Murray Ross,
B3,10054,Multi-hull,multi-hull,Bob Boyes,
B52,9030,Keelboat,Lidgard 16m,John Lidgard,Canterbury
Baadin Yimkin,2802,,Salthouse 25,R Salthouse,
Baba Yaga,T1167,Trailer Yacht,Moonraker,Sedlmayer,
Babe,6832,Keelboat,Young 88,Jim Young,Auckland
Babe-Ruth,T1372,,,R Hartley,
Baby Blue,2851,Keelboat,Farr 727,Bruce Farr,Wellington
Babylon,2276,Keelboat,,McDonald,
Baccara,972,,,J Spencer,
Bacchante,3777,Keelboat,Moonshine,Bruce Farr,
Bacchus,T1642,Other,,J van Giels,
Bacchus,T2755,,Aquarius 22,C Jeffrey,
Bacchus,2468,,,Alan Wright,
Bacchus II,5816,,,Alan Warwick,
Bacchus III,T1680,,Caribou 20,F Pelin,
Bacchus of Brighton,9858,Keelboat,Beneteau Oceanis 361,Berret Racoupeau,Auckland
Bacchus of Brighton,9858,Keelboat,Beneteau Oceanis 361,Berret Racoupeau,Auckland
Bacharach,2974,Keelboat,H28,L F Herreshoff,
Back 2 Basics,T3654,,Caribou 20,F Pelin,
Back Chat,6956,Keelboat,Elliot 1050,Greg Elliot,
Back On Trac,9371,Keelboat,Jeanneau,Philippe Briand,
Backchat,T3433,,,,
Backlash,17,Other,,P Atkinson,
Backlash,T4125,,,Pegasus Marine,
Bad Boys,8530,,,,
Bad Bunny,10049,Keelboat,Dash 34,Laurie Davidson,
Bad Buoy,L9608,Launch,Power Boat,Oceania Boats,
Bad Habit,T1148,Trailer Yacht,Sabre 22,A Scott,
Bad Habits,3030,,Mull 45,Gary Mull,
Bad Jelly,T1948,,,Honey/Trethewey,
Bad Jelly,T2009,,Merlin,A Mummery,
Bad Kitty,7722,Multi-hull,,Tennant,
Badger,T3351,Trailer Yacht,,J van Giels,
Badger II,T1923,Other,,Honey/Trethewey,
Badonkadonk,9416,Trailer Yacht,Shaw 650,Rob Shaw,
Bagatelle,8590,Keelboat,Catalina 34 MK II,Frank Butler,Auckland
Baggy-Wrinkle,5613,,Noelex 30,B Farr,
Baggywrinkle,T3055,,Ventura,Owen Woolley,
Bagpipe,3256,,,H Wagstaff,
Bakaal,3344,,,Ganley,
Balacazar,4286,,,Gary Mull,
Bali Dancer,6031,,Farr 1020,Bruce Farr,
Bali Hai,T2725,,Aquarius 22,C Jeffrey,
Baliceaux,8594,,,Herreshoff,
Ballerina,511,,,H Butler,
Ballerina,T2858,Trailer Yacht,Tasman 20,Alan Wright,
Ballerina III,477,,,R Sewell,
Ballet Dancer,T1627,,,Armstrong/Bligh,
Ballistic,7450,Multi-hull,Turissimo 9,M Tennant,Auckland
Ballistic,8405,Keelboat,Ross 30 (930),Murray Ross,
Ballyhoo,T1525,Trailer Yacht,Tasman 20,Alan Wright,
Ballyhoo,4468,Other,Shoalcraft,C Crooks,
Baloo,T4285,Trailer Yacht,Hartley TS16,Richard Hartley,
Baltic,539,Other,,M Griffiths,
Balus,2074,,,R Salthouse,
Balvenie,6967,Keelboat,,Des Townson,
Bama Breeze,9071,Keelboat,,Kelly Peterson,
Bambino,3634,,,B Vaudrey,
Bamboo Flute,323,Other,Tracker,Alan Wright,
Bamboozle,3901,Other,Davidson 28,L Davidson,
Bamboozle,T1376,,,F Pelin,
Banana,T2340,,,B Holloway,
Banana Split,7222,,,A Piver,
Bananas,3160,,,D T Townson,
Band Wagon,3878,Keelboat,Whiting 29,Paul Whiting,Canterbury
Bandersnatch,T3532,,,Trethewey/Mart,
Bandersnatch,1653,Other,Stiletto,J Spencer,
Bandicoot,6102,Keelboat,Young 88,Jim Young,
Bandido,3285,,,Bruce Farr,
Bandit,T2504,,Farr 6000,Bruce Farr,
Bandit,660,Keelboat,Van de Stadt,Van de Stadt,
Bandit II,9427,Keelboat,Moody 46,Bill Dixon,
Bandito,184,,,,
Bandolero,4276,Keelboat,Pied Piper,D T Townson,
Banika,1134,,,P Fletcher,
Banjo,2924,,Raven 26,Owen Woolley,
Banksea,4169,Other,,Reyners,
Banshee,5452,,Tracker,Wright,
Banshee,7086,Multi-hull,,A Piver,
Banyandah,T2760,,,J Brooke,
Baranduin,T1880,,,Honey/Trethewey,
Baranjoma,T1995,,,J Brooke,
Barbara Anne,6185,,,N Skeates,
Barbara Kendal,9401,Keelboat,Elliott 6,Greg Elliott,
Barbaree,T1457,,,R Hartley,
Barbarella,3485,Other,Raven 26,Owen Woolley,
Barbarian,2237,,,J Spencer,
Barbarian,T2848,,,Honey/Trethewey,
Barbarossa,L1122,,Corsair,Salthouse,
Barbary,L1069,,,B Salthouse,
Barby-Marie,2862,,,A Smith,
Barcarola,T234,,,A N Wright,
Barchetta,L1036,,,T Barnett,
Barchetta III,4587,,,Sayer,
Barco Del Oro II,1817,,,J Anke,
Barcoo,855,,,Noble,
Bare Essentials,9395,Keelboat,Robinson 56 Custom,Grant Robinson,
Barefoot,2349,,,K Lidgard,
Barefoot,T707,,Hartley 16,R Hartley,
Barefoot Of Kerikeri,9588,Keelboat,Cutter,,Northland
Barefoot Of Te Puna,9707,Keelboat,Sloop,Jacques Fauroux,
Barega,2524,,,L Davidson,
Barely Legal,T4223,Trailer Yacht,Shaw 650,Robert Shaw,
Bark,T1101,Trailer Yacht,Hartley 16,R Hartley,
Barnacle,T1287,,Hartley 18,R Hartley,
Barnacle Bill,1710,Keelboat,,Sparkman & Stephens,
Barney 2,L9617,Launch,Sealegs 8.5 metre,Sealegs,
Barnstorm,5715,Keelboat,,D Peterson,
Barometer Soup,T4237,Trailer Yacht,Young 77,Jim Young,
Baroness,2903,,,C Robertson,
Baroness II,3002,,,R Hartley,
Baroque,4335,,,A Warwick,
Barossa,T4148,,Young 770,J Young,
Barracuda,E6,,Etchells,Etchell,
Barragan,T2970,,,C Jeffries,
Barrule,2019,,,J Lidgard,
Barrycourt,7115,Multi-hull,TRIMARAN,ARTHUR PIVER,
Barteau,T4046,,Hartley 16,Hartley,
Basanti,6301,,,S Jones,
Bashful,3112,Keelboat,IOR 1/4 ton,L Davidson,
Basic Instinct,T2014,Trailer Yacht,Catalina 7,Alan Wright,Bay of Plenty
Basic Instinct,8123,,Elliott 1050,Greg Elliot,
Basic Instinct II,T3914,,,D Lloyd,
Basil Brush,3007,Keelboat,H 28,L F Herreshoff,Nelson/Marlborough
Batavier,2731,,Raven 26,Owen Woolley,
Batifole,T3086,Trailer Yacht,Noelex 25,TretheweyMarten,
Batman 2,2994,,Cavalier 30,D Peterson,
Baton Rouge,3040,,Davidson 31,L Davidson,
Battle Cry,1728,,,F Blom,
Battlestar,T3617,,Joker 6.7,Ron Given,
Bavaria,8020,Keelboat,1/2 Tonner,John Lidgard,
Bavarian Wave,8727,Keelboat,Bavaria 44,J & J Yacht Design,Bay of Plenty
Bay Breeze,8955,Keelboat,,Beneteau,
Bay Runner,3464,Keelboat,Unknown,Dalzell,
Bayfinder,3478,,,Hartley,
Bays Flyer,4843,Keelboat,Marauder,Alan Wright,
Bazooka,3549,,,D T Townson,
Bb King,2602,Keelboat,Birdsall 37,B Birdsall,
Bbj,3857,Keelboat,,Alan Wright Lotus 9.2,
Bbq Bay Express,T4001,,Elliott 5.9,Greg Elliott,
Beach Baby,8178,Keelboat,,C McKenzie,
Beach Loop,T3889,Trailer Yacht,Farr 6000,Bruce Farr,
Beachcomber,1568,Keelboat,,B Birdsall,
Beachlands,,Multi-hull,Lagoon 380,Lagoon,
Beagle,T3059,,,Alan Wright,
Bealy Hare,8243,Keelboat,Beale 33,Ray Beale,
Beans,2805,Keelboat,,Sparkman & Stephens,
Bear Baloo,747,Keelboat,Seawind,D H Meeuson,
Bear Feat,5695,,,A Wright,
Bear Feet,3452,Keelboat,Tracker,A Wright,
Bearaway,1216,,,J Gladden,
Beat Route,T2370,Trailer Yacht,Beachcomber,Hart Bros,
Beatall,7026,Multi-hull,,,
Beatnik,9129,Keelboat,Farallone Clipper,Stephens Brothers,
Beau,5257,,Young 88,Jim Young,
Beau Dame,T1999,,Catalina 7,Alan Wright,
Beau Dancer,T1639,,,Armstrong/Bligh,
Beau Geste,4220,Other,,L F Herrshoff,
Beau Geste,O1997,Keelboat,Botin 80 Custom,Botin Partners,
Beau Geste Chase,L9614,Launch,Smuggler 7.5,Smuggler,
Beaujolais,1643,,Cavalier 32,R Salthouse,
Beaujolais,T2350,,Noeleda,Noel Honey,
Beaumaris,3948,Keelboat,Davidson 28,L Davidson,
Beautiful Music,T1929,,Tasman 20,Alan Wright,
Beaver,T3813,,Elliott 7.4,Greg Elliott,
Because,3856,,,Alan Wright,
Bedivere,2435,,,L F Herreshoff,
Bedlam,2548,,Tasman 20,Alan Wright,
Bedlam,T2548,Other,Tasman 20,Alan Wright,
Bedlam II,T2544,,,L Davidson,
Bedouin,5006,Keelboat,,Alan Wright,
Bedouin 2,6248,Keelboat,Elliot 7.9m,Greg Elliot,Wellington
Beech House,9952,Keelboat,Oceanis Clipper 473,,
Beechley,65,,,R L Stewart,
Beecom,8908,Keelboat,,Reichel-Pugh 72,
Beefeater,1790,Other,Reactor,P Whiting,
Beejay,343,,Lotus 9.2,Alan Wright,
Been There,T3195,,,A Mummery,
Been There Too,T3339,,Caribou 20,F Pelin,
Beep Beep,4709,Keelboat,Pied Piper,D T Townson,
Beer's Essential,T4089,,Young 6.7,Jim Young,
Bees Knees,8068,,Davidson 28,L Davidson,
Bees Knees,8815,Keelboat,,van de Stadt,
Begorrah,5620,Keelboat,Lotus 9.2,Alan Wright,
Bel Age,8030,,,P Beeldsnijder,
Bel Canto,6167,,,M K Wornall,
Belcimo,T724,,,A N Wright,
Belinda,738,,,Laurent Giles,
Belinda,T3234,Trailer Yacht,,Wallace McNair,
Belinda II,T242,,,R Hartley,
Bella,9372,Keelboat,Jeanneau Sun Odyssey 39DS,Marc Lombard/ Vittoria Garroni,
BELLA II,L9620,Launch,GRAND STURDY 29.9AC,LINSSEN,
Bella Rosa,8994,Keelboat,Bavaria 46,J & J Design,
Bella Rose,T4266,Trailer Yacht,MacGregor 26 WB,Roger Macgregor,
Bella Vista,9232,Keelboat,Bavaria 34,Bavaria,
Bella Vita,,Keelboat,Cavalier 45,,Auckland
